English-Short-Name;Alpha-2-code;Alpha-3-code;Numeric-code;Independent;
Afghanistan;AF;AFG;4;Yes;
Åland Islands;AX;ALA;248;No;
Albania;AL;ALB;8;Yes;
Spain;ES;ESP;724;Yes;
